line,type,context,talking,talking_to,words,episode
0,sound,cheers and applause,,,,1
1,testimony,laughs,cassie,aside,"Hi, I'm Cassie, and welcome to Huntington Beach, California. I love the beach. I just like being out on the water. But I also enjoy working with people as well. I am a speech pathologist and a grad student. When I am working with a child and I see that I have helped them to communicate, it is probably one of the best feelings in the world. As a speech pathologist I'm supposed to be a good communicator and I really hope that that translates to when I go to meet Colton. I am so excited that Colton is the bachelor. Oh, my gosh. I am so nervous to meet him actually. My greatest hope is that when I meet Colton, we really click, and hit it off, and I leave with him.",1
2,testimony,,hannahb,aside,"Hi, I'm Hannah. Welcome to Alabama! I grew up in Titletown, home of the champions. I love Tuscaloosa, proud to be an Alabama fan. Roll tide! I'm miss Alabama, which makes me a queen here. Getting to serve my great state, that was truly a dream come true. It's fun. I have my own autograph pads. I always like to leave an encouraging message. Yeah, but I'm a total train wreck. I just am hoping that Colton will like the good, bad, and hot mess. The hot mess express and I'm the conductor.",1
3,exclamation,,hannahb,self,"C‐o‐l‐t‐o‐n, Colton, Colton, you're a ten!",1
4,testimony,,hannahb,aside,"So I've only kissed four guys that were my boyfriends. I am not a virgin, but sex a big deal so Colton is the bachelor and that he is a virgin is super appealing to me. I honestly couldn't believe people were like, ""what?"" I was like, oh, my God, it's so awesome. Like, it is so amazing. But then I am like, ""how?"". Colton, I hope you are ready for Alabama Hannah because Alabama Hannah is ready for you.",1
5,sound,laughs,,,,1
6,testimony,,katie,aside,"Hi, my name is katie, 26 years old and I am from the east coast. I came to L.A. because I wanted to dance. I love dancing. And as much as I love creative freedom and the arts, I'm a person who wants stability and security. The kind of love I hope to have one day is like my parents. They have been married for 30 years. They are inseparable. I love that. I want that. I am really excited to meet Colton because he has blonde hair, green eyes, athletic, super kind, kind of weird. I seem to have a very specific type. If he ends up liking the person I am and I end up loving the person he is, then 100%, I could be engaged at the end of this.",1
7,testimony,laughs,heather,aside,"Hi I'm Heather, I'm 22, and I was born and raised in California. If I'm not working, I am at the beach. I'm a beach girl through and through. I paddleboard, I am always in the water, always at the beach. But here's the thing, I hae never had sex before and I've never kissed anyone. ""Hey, I'm heather, I've never kissed anyone,"" that is really not my opening typically. I met Colton at his charity event in San Diego for 15 seconds. Took quick pictures, and is like, okay, I like that guy. Colton seems to have all the qualities that I'm looking for in a future husband. I could definitely see myself having my first kiss with Colton.",1
8,testimony,"laughs, laughs",onyeka,aside,"Hi, my name is Onyeka E. I am 24 years old and I live in Dallas, Texas. I grew up in a strong, traditional Nigerian family. My full name could not fit in the thing that they put down here. I am not afraid to embarras myself. Anyone who knows me knows I will do the weirdest thingn public. I'm loud and obnoxious at times. I do not care what people think about me. I think I'm a lot to handle. but I also have a really bg heart that comes with that. My parents are from Nigeria. They dated for two weeks and then they were engaged. I'm a firm believer in when you know, you know. Colton, he has all the morals, and all the characters I look for in a guy. And he's hot. If I was the person that Colton can gave his virginity to, I would definitely bring out all the tricks.",1
9,testimony,,nicole,aside,"Hola, me llamo Nicole y bienvenido a Miami. Being single when you are relatively attractive, it's hard because there are so many singles in Miami. So when I go out, you're not going to meet eligible bachelors. They're part of that hookup culture. I'm not about that. I'm looking for the real deal. My life in Miami is totally focused and centered on my family. My brother, A. J., suffers from autism. He is part of the package deal. He is going to be with me always. My mom and my grandma, my brother, are, like, my world. I'm so excited to meet Colton. I could just tell he would be so welcoming to, like, to my family and to my life.",1
