name,city,state/reg,occupation,leftEpisode
ALEXB,29,Vancouver,British Columbia,Dog Rescuer,2
ALEXD,23,Boston,Massachusetts,Sloth,1
ANGELIQUE,28,Hamilton,New Jersey,Marketing Salesperson,2
ANNIE,23,New York,New York,Financial Associate,2
BRI,24,Los Angeles,California,Model,3
CAELYNN,23,Charlotte,North Carolina,Miss North Carolina 2018,N
CAITLIN,25,Toronto,Ontario,Realtor,3
CASSIE,23,Huntington Beach,California,Speech Pathologist,N
CATHERINE,26,Ft Lauderdale,Florida,DJ,3
COURTNEY,23,Atlanta,Georgia,Caterer,4
DEMI,23,Red Oak,Texas,Interior Designer,N
DEVIN,23,Medford,Oregon,Broadcast Journalist,1
ELYSE,31,Soldotna,Alaska,Makeup Artist,N
ERIKA,25,Encinitas,California,Recruiter,2
ERIN,28,Plano,Texas,Cinderella,1
HANNAHB,23,Tuscaloosa,Alabama,Miss Alabama 2018,N
HANNAHG,23,Birmingham,Alabama,Content Creator,N
HEATHER,22,Carlsbad,California,Never Been Kissed,N
JANE,26,West Hollywood,California,Social Worker,1
KATIE,26,Sherman Oaks,California,Medical Sales Rep,N
KIRPA,26,Whittier,California,Dental Hygienist,N
LAURA,26,Dallas,Texas,Accountant,1
NICOLE,25,Miami,Florida,Social Media Coordinator,N
NINA,30,Raleigh,North Carolina,Sales Account Manager,3
ONYEKA,24,Dallas,Texas,IT Risk Consultant,N
REVIAN,24,Santa Monica,California,Nurse,1
SYDNEY,27,New York,New York,NBA Dancer,N
TAHZJUAN,25,Castle Pines,Colorado,Business Development Associate,1
TAYSHIA,28,Corona Del Mar,California,Phlebotomist,N
TRACY,31,Los Angeles,California,Wardrobe Stylist,4
