line,type,context,talking,talking_to,words,episode
0,sound,birds chirping,,,,3
1,dialogue,,sydney,tayshia,"Last week was a little wild. He's, like, literally dating other people in front of you.",3
2,dialogue,,tayshia,sydney,In front of our faces.,3
3,dialogue,,sydney,tayshia,"Yeah. And then you're getting cut off by, like, someone blowing an air horn in my face, so things like that.",3
4,dialogue,,tayshia,sydney,I can't‐‐yeah.,3
5,testimony,,sydney,aside,"Last week was a little dramatic. Onyeka and I had some drama. I know that there was some tension between Caelynn and Hannah B., and then last night, there was some drama with Tracy and Demi at the cocktail party. So I'm hoping all the drama is over and I can focus on Colton going into this next week. I hope to God that I'm on a date this week.",3
6,dialogue,,tayshia,sydney,I'm staying very optimistic to be on the date card this week. I think it's gonna happen.,3
7,dialogue,,chris,women,Good morning.,3
8,dialogue,,women,chris,Hey!,3
9,dialogue,,chris,women,Y'all come on inside.,3
10,dialogue,,women,chris,Hi!,3
11,dialogue,,chris,women,How's everybody doing today?,3
12,dialogue,,women,chris,Good.,3
13,dialogue,,chris,women,"So how was last week, actually getting into the swing of things here?",3
14,dialogue,,women,chris,Last week was a lot of really high highs and a lot really low lows. You second‐guess yourself a lot with everything that's going on.,3
15,dialogue,,chris,women,"To be honest, that's‐‐ I mean, that's part of it. Like, there will be highs, and then there will be lows. That's the way it goes. That's love. My advice-- take advantage of your time with Colton. So this week, three dates... Two group dates and the amazing, romantic one‐on‐one date. It's gonna be a good week. Date card right here.",3
16,sound,suspenseful music,,,,3
17,exclamation,,women,self,Ooh!,3
18,dialogue,,chris,women,Just leave that there.,3
19,dialogue,,women,chris,"Thanks, Chris.",3
20,dialogue,,chris,women,Have a great week. I bet I'll be seeing you around.,3
21,dialogue,,women,chris,See you soon! Bye!,3
22,dialogue,,demi,women,I think that we all are kind of hoping we can have the one‐on‐one.,3
23,dialogue,,onyeka,women,Katie.,3
24,exclamation,,katie,self,Yes.,3
25,dialogue,,onyeka,women,Heather.,3
26,exclamation,laughs,heather,self,,3
27,dialogue,,onyeka,women,Hannah B.,3
28,exclamation,laughs,hannahb,self,"Oh, yay.",3
29,testimony,,hannahb,aside,I'm so excited. I get to go on a group date with Colton.,3
30,dialogue,,onyeka,women,Courtney. Kirpa.,3
31,exclamation,,kirpa,self,Yay.,3
32,testimony,,hannahb,aside,But I am hoping that Caelynn's name is not on the card...,3
33,dialogue,,onyeka,women,Tracy. Demi.,3
34,testimony,,hannahb,aside,"Because I competed in pageants with Caelynn for years, and she's somebody who I don't get along with.",3
35,dialogue,,onyeka,women,Caelynn.,3
36,exclamation,,caelynn,self,Oh. Whoa.,3
37,dialogue,,onyeka,women,"""I'm looking for life's greatest treasure. Colton.""",3
38,dialogue,,hannahb,???,"Oh, God, I'm so glad I have you.",3
39,testimony,,heather,aside,"Hannah and Caelynn know each other from pageants, but they had a falling‐out and they are no longer friends. And now they're on a group date, so... it's gonna be interesting to see how they handle it.",3
40,dialogue,,women,women,"Let's go. Bye, y'all.",3
41,testimony,all cheering,caelynn,aside,"I think today will be interesting, because Hannah B. and I have had our differences But I don't want our past to come in between more important things, like Colton. So I just want to have fun on the date today and just be with Colton.",3
42,sound,rousing music,,,,3
43,exclamation,"all cheering, laughing, thunder crashing",women,self,"Guys, I am so excited. Let's go, ladies! Let's do it! Oh, my gosh.",3
44,dialogue,"all cheering, all cheering, all cheering",announcer,women,This is a story of love and heartbreak. But also a pirate story. This is the story of Captain Colton. In search of the greatest treasure the world has ever seen-- love.,3
